text-caption 2	air3-link	air3-link href	sr-only	sr-only 2	text-light 2	text-light 4	text-light 6	text-light 7	air3-line-clamp	air3-token-skip	sr-only 3	air3-token	air3-token href	air3-token 2	air3-token href 2	air3-token 3	air3-token href 3	air3-token 4	air3-token href 4	air3-token 5	air3-token href 5	air3-token 6	air3-token href 6	air3-token 7	air3-token href 7	air3-token 8	air3-token href 8	sr-only 4	text-light 8	sr-only 5	d-inline-block	text-light 9	d-inline-flex	text-base-sm	air3-btn-link-secondary	sr-only 6
1 hour ago	Digital Marketing Strategy Consultant Needed	https://www.upwork.com/jobs/Digital-Marketing-Strategy-Consultant-Needed_~021884097012133771932/?referrer_url_path=find_work_home	Job feedback Digital Marketing Strategy Consultant Needed	Save job Digital Marketing Strategy Consultant Needed	Hourly: $8-$25	Intermediate	Est. Time:	Less than 30 hrs/week	We are seeking a skilled digital marketing strategist to help us articulate our offerings and coaching transformations effectively. Your role will involve analyzing our current strategies, identifying target audiences, and developing a comprehensive digital marketing plan that enhances our outreach and engagement. If you have a passion for coaching and a strong understanding of digital marketing trends, we want to hear from you. Join us in making a meaningful impact through strategic communication! Bonus points for helping create static IG posts using Adobe Express!	Skip skills	Previous skills. Update list	Marketing Strategy	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626756493656064	Social Media Marketing	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626781114220544	Market Analysis	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626756405575680	Internet Marketing	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626749027794944	Email Marketing	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626734741995520							Next skills. Update list	Payment verified	Rating is 5 out of 5.	$25	spent	United States	Less than 5	more	"about ""Digital Marketing Strategy Consultant Needed"""
1 hour ago	HIPAA Compliant Go High Level Workflow Automation, Website, and AI chatbot	https://www.upwork.com/jobs/HIPAA-Compliant-High-Level-Workflow-Automation-Website-and-chatbot_~021884096001080676911/?referrer_url_path=find_work_home	Job feedback HIPAA Compliant Go High Level Workflow Automation, Website, and AI chatbot	Save job HIPAA Compliant Go High Level Workflow Automation, Website, and AI chatbot	Hourly: $4-$20	Intermediate	Est. Time:	Hours to be determined	I am seeking an experienced professional to assist with the setup of a HIPAA compliant Go High Level workflow automation, website, and AI chatbot. The ideal candidate will have a strong understanding of HIPAA regulations and strong experience with Go High Level. Your expertise will help us streamline operations while ensuring compliance with privacy standards. If you have a proven track record in automation, we want to hear from you!	Skip skills	Previous skills. Update list	CRM Automation	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1549040408135077888	Java	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274382	high level	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=free_text	go high level	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=free_text	HIPPA	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=free_text	Go high level automations	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=free_text					Next skills. Update list	Payment verified	Rating is 5 out of 5.	$1K+	spent	United States	Less than 5	more	"about ""HIPAA Compliant Go High Level Workflow Automation, Website, and AI chatbot"""
1 hour ago	Knowledge management system - RAG / N-Shot / LLM	https://www.upwork.com/jobs/Knowledge-management-system-RAG-Shot-LLM_~021884095311834894895/?referrer_url_path=find_work_home	Job feedback Knowledge management system - RAG / N-Shot / LLM	Save job Knowledge management system - RAG / N-Shot / LLM	Hourly: $8-$20	Intermediate	Est. Time:	30+ hrs/week	"We are looking to build a knowledge management system for specific clients / types of users.  The knowledge will be built from different tiers of information and categorized in a library.  Each user role will then have a specific ""silo"" of knowledge then can use an LLM to talk to it.  This will employe RAG / N-shot prompt chains.  Must have experience on how to contextualize different type of information: PDF, TEXT, excel, charts, presentations, websites.  Already know and have experience with Vectorization.  Already knows how to use different big tech LLM's and use it efficiently.  You must provide demonstrations and walkthroughs of previous work - we do not accept just a description or a resume, we can review on zoom for privacy purposes but we must see what you did and how you did it.  Using open source LLM's or what techniques you used."	Skip skills	Previous skills. Update list	Web Application	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580737240190976	AI App Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1691099314241679360	AI Agent Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1691099314245873665	AI Bot	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1691099314170376192	AI Model Integration	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1623716863997775872	AI Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1691099314254262272	API Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626714051493888	API Integration	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580482566246400	Next skills. Update list	Payment verified	Rating is 4.9 out of 5.	$300K+	spent	United States	5 to 10	more	"about ""Knowledge management system - RAG / N-Shot / LLM"""
1 hour ago	Application Engineer – Innovate, Build, and Grow with FRDM Consulting	https://www.upwork.com/jobs/Application-Engineer-Innovate-Build-and-Grow-with-FRDM-Consulting_~021884092224525161007/?referrer_url_path=find_work_home	Job feedback Application Engineer – Innovate, Build, and Grow with FRDM Consulting	Save job Application Engineer – Innovate, Build, and Grow with FRDM Consulting	Hourly: $40-$90	Intermediate	Est. Time:	30+ hrs/week	"Job Description:
At FRDM Consulting, we believe in the power of innovation to drive transformation in energy and heavy industries. As an Application Engineer, you’ll work on impactful projects that challenge conventional thinking and deliver real-world results.

This isn’t just a job—it’s an opportunity to take your skills to the next level. You’ll be joining a collaborative team that’s pushing the boundaries of technology while helping clients optimize operations and embrace digital transformation.

Your Role:

Design and deliver high-performance applications that address real client needs.
Collaborate with cross-disciplinary teams to create scalable, integrated solutions.
Build and refine APIs, workflows, and custom tools that enhance productivity and user experience.
Dive into challenging technical problems and deliver creative, optimized solutions.
Be a part of every phase of the development lifecycle, from concept to deployment and beyond.
What You’ll Bring:

Solid experience in programming languages like Python, JavaScript, or similar.
A working knowledge of frameworks such as Flask, React, or Angular.
Proficiency in working with RESTful APIs, databases (SQL/NoSQL), and automation tools.
A proactive, problem-solving mindset and a hunger to learn and improve.
Excellent communication skills and the ability to collaborate effectively with team members and stakeholders.
Why FRDM Consulting?

Meaningful Work: Shape the future of energy and heavy industries by working on projects that make a difference.
Room to Grow: We’re committed to your professional development, offering opportunities to tackle progressively challenging roles.
Collaborative Environment: Be part of a supportive team that values creativity, curiosity, and a growth mindset.
Competitive Rewards: Enjoy compensation and benefits that reflect your contributions and potential.
This is more than a role—it’s a launchpad for ambitious professionals ready to grow and achieve more. If you’re ready to make your mark and take on challenges that matter, apply today!"	Skip skills	Previous skills. Update list	Web Application	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580737240190976	AI App Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1691099314241679360	.NET Framework	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626732825198592	Product Design	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626770871730176	JavaScript	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274383	Python	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274386	Product Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626770884313088	Web Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626795211276288	Next skills. Update list	Payment verified	Rating is 5 out of 5.	$20K+	spent	Canada	20 to 50	more	"about ""Application Engineer – Innovate, Build, and Grow with FRDM Consulting"""
1 hour ago	Conversion Tracking Expert Needed	https://www.upwork.com/jobs/Conversion-Tracking-Expert-Needed_~021884090659932328495/?referrer_url_path=find_work_home	Job feedback Conversion Tracking Expert Needed	Save job Conversion Tracking Expert Needed	Hourly: $30-$45	Expert	Est. Time:	30+ hrs/week	"I own a boutique digital marketing agency specializing in small / medium businesses and nonprofits.

I'm looking for an expert to help me set up conversion tracking for our clients. I know quite a bit myself, and I'm happy to teach you anything you don't know, but would like someone who brings their own knowledge to the table. I'm interested in someone who knows multiple ways to solve the same problem (GTM, GA4, JavaScript, etc.), and can figure out a solution to every tracking problem; a motivated person who'll research solutions when they don't know them and learn things on the job.

Required skills:

Google Tag Manager
Google Analytics (GA4)
Exploration reports in GA4
Custom dimensions and parameters in GA4
Familiarity with coding, including HTML and Javascript, ability to modify and customize tracking code
Familiarity with gtag commands to communicate directly with GA4
Offline conversions (gclid uploads, enhanced conversions, familiarity with CRM solutions such as Hubspot and Zapier is a plus)
Phone call tracking (phone snippets, familiarity with CallRail is a plus)
Ability to do some tasks in the CMS (such as Wordpress)
Ability to define, import, and configure conversions in Google Ads
Ability to understand and speak fluent English

Although we expect meticulous and thorough work, we are very chill people and working with us is generally relaxed. :-) Our timelines are generally not rushed, but we usually expect turnaround within a week. 

Let us know if you're the right person for this opportunity!"	Skip skills	Previous skills. Update list	Google Analytics	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626741842952192	Google Tag Manager	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626742535012352	WordPress	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1052162208999198724	JavaScript	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274383	HTML	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626745110315008	conversions api	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=free_text	Google APIs	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1192876973927972864	meta api	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=free_text	Next skills. Update list	Payment verified	Rating is 0 out of 5.	$1K+	spent	United States	15 to 20	more	"about ""Conversion Tracking Expert Needed"""
1 hour ago	Website Development with Generative AI Expertise	https://www.upwork.com/jobs/Website-Development-with-Generative-Expertise_~021884088438682342606/?referrer_url_path=find_work_home	Job feedback Website Development with Generative AI Expertise	Save job Website Development with Generative AI Expertise	Hourly: $85	Intermediate	Est. Time:	Less than 30 hrs/week	We are seeking a skilled web developer with experience in generative AI to help us build an innovative website. The ideal candidate will have expertise in integrating AI technologies to enhance user experience and functionality. Responsibilities include designing the website layout, implementing AI solutions, and ensuring responsive design for various devices. If you are passionate about AI and have a strong background in web development, we would love to hear from you.	Skip skills	Previous skills. Update list	Artificial Intelligence	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626716094119936	Python	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274386	Machine Learning	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626755474440192	Artificial Neural Network	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626716102508544	Neural Network	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580640142053376							Next skills. Update list	Payment verified	Rating is 0 out of 5.	$0	spent	United States	15 to 20	more	"about ""Website Development with Generative AI Expertise"""
1 hour ago	Zapier for AI Web Scraper	https://www.upwork.com/jobs/Zapier-for-Web-Scraper_~021884085944644326606/?referrer_url_path=find_work_home	Job feedback Zapier for AI Web Scraper	Save job Zapier for AI Web Scraper	Hourly: $20-$50	Intermediate	Est. Time:	Less than 30 hrs/week	"My name is Noah and I'm the Founding Lawyer of Founders Firm. Founders Firm is a new kind of law firm that combines innovative legal craftsmanship, innovative technology, and innovative go-to-market practices to deliver excellence in legal services to clients everywhere.

I'm looking to work with elite Zapier workflow developers who are conquering the frontier with AI - namely on Gumloop, a platform for automating any workflow with AI and without coding. 

This is a one-time project that has the potential to grow into something much bigger.

If you've worked with Gumloop before or have mastered Zapier and are looking to be at the forefront of what comes next,  I would love to talk!"	Skip skills	Previous skills. Update list	Zapier	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626797853687808	Data Scraping	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626730405085184	Gumloop	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=free_text											Next skills. Update list	Payment verified	Rating is 0 out of 5.	$0	spent	Canada	10 to 15	more	"about ""Zapier for AI Web Scraper"""
1 hour ago	Google Analytics & Tag Manager Specialist Needed for Conversion Tracking Troubleshooting	https://www.upwork.com/jobs/Google-Analytics-Tag-Manager-Specialist-Needed-for-Conversion-Tracking-Troubleshooting_~021884085383190598862/?referrer_url_path=find_work_home	Job feedback Google Analytics & Tag Manager Specialist Needed for Conversion Tracking Troubleshooting	Save job Google Analytics & Tag Manager Specialist Needed for Conversion Tracking Troubleshooting	Fixed-price	Intermediate	Est. Budget:	$40	"We are seeking an experienced Google Analytics and Tag Manager specialist to assist us in troubleshooting our Google Ads conversion tracking, for our eCommerce (Woocommerce) site. 
Your expertise will help us ensure that our conversion data is accurate and actionable. If you have a proven track record with Google Analytics and Tag Manager, we would love to hear from you!"	Skip skills	Previous skills. Update list	Google Analytics	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626741842952192	Google Tag Manager	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626742535012352	Google Ads	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626741817786368	Analytics	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626712596070400	Conversion Rate Optimization	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626727209025536							Next skills. Update list	Payment verified	Rating is 4.9 out of 5.	$8K+	spent	Australia	5 to 10	more	"about ""Google Analytics & Tag Manager Specialist Needed for Conversion Tracking Troubleshooting"""
2 hours ago	Experienced Backend Developer for Advanced Security & AI-Powered Application (Samscloud)	https://www.upwork.com/jobs/Experienced-Backend-Developer-for-Advanced-Security-Powered-Application-Samscloud_~021884081469814161883/?referrer_url_path=find_work_home	Job feedback Experienced Backend Developer for Advanced Security & AI-Powered Application (Samscloud)	Save job Experienced Backend Developer for Advanced Security & AI-Powered Application (Samscloud)	Hourly: $30-$50	Expert	Est. Time:	30+ hrs/week	"We are seeking a highly skilled Backend Developer to join our innovative team working on Samscloud, a cutting-edge application focused on personal security, digital storage, blockchain, AI, and big data. Samscloud offers features such as emergency communication, AI-driven security monitoring, real-time data streaming, and mesh network capabilities. If you are passionate about building robust, scalable backend systems and integrating advanced technologies to enhance security and user experience, we’d love to hear from you!

Key Responsibilities:

Develop and Maintain Backend Systems:
Design, implement, and maintain scalable and secure backend architectures to support Samscloud’s diverse features.
Integrate AI and Machine Learning Models:
Work with AI models (e.g., YOLOv8) for object and facial recognition, anomaly detection, and predictive security measures.
Real-Time Data Processing:
Implement real-time data streaming and processing solutions for features like emergency communication and data broadcasting.
Blockchain Integration:
Develop and integrate blockchain solutions for secure digital storage and transaction tracking.
API Development:
Create and maintain RESTful  APIs to facilitate communication between the frontend and backend systems.
Database Management:
Design and manage databases optimized for big data handling, ensuring data integrity and security.
Mesh Network Configuration:
Implement and manage configurable mesh network features, including Bluetooth mesh and emergency button integrations (e.g., DSBC-101).
Security Implementation:
Ensure all backend systems adhere to best security practices, including data encryption, secure authentication, and vulnerability assessments.
Collaboration:
Work closely with frontend developers, AI specialists, and other team members to deliver a seamless and integrated application experience.
Continuous Improvement:
Monitor system performance, identify bottlenecks, and implement optimizations to enhance the overall efficiency and reliability of the application.
Required Skills and Qualifications:

Proven Experience:
5+ years of backend development experience, preferably in security, AI, or related domains.
Technical Proficiency:
Strong knowledge of backend programming languages such as Python, Java, or Go.
Experience with frameworks like Django, Flask,, or similar.
Database Expertise:
Proficiency in working with both SQL (e.g., PostgreSQL,  (e.g., MongoDB)) databases.
API Development:
Experience designing and implementing RESTful APIs.
Real-Time Data Handling:
Knowledge of real-time data processing technologies such as WebSockets, Kafka, or RabbitMQ.
AI and Machine Learning Integration:
Familiarity with integrating machine learning models and AI services into backend systems.
Blockchain Fundamentals:
Understanding of blockchain technology and experience with blockchain frameworks is a plus.
Security Best Practices:
Strong understanding of data security, encryption methods, and secure authentication mechanisms.
Version Control:
Proficiency with Git and collaborative development workflows.
Problem-Solving Skills:
Excellent analytical and problem-solving abilities to tackle complex technical challenges.
Communication:
Strong written and verbal communication skills for effective collaboration with team members.
Preferred Skills:

Experience with YOLOv8 or similar models for object and facial recognition.
Knowledge of mesh networking protocols and Bluetooth integrations.
Familiarity with cloud platforms like AWS.
Experience with containerization and orchestration tools such as Docker and Kubernetes.
Understanding of DevOps practices and CI/CD pipelines."	Skip skills	Previous skills. Update list	PostgreSQL	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628000108546	MongoDB	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364627995914245	SQLite	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628000108549	API	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580482322976768	Python	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274386	Amazon Web Services	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628012691471	RESTful API	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580682663907328			Next skills. Update list	Payment verified	Rating is 4 out of 5.	$100K+	spent	United States	15 to 20	more	"about ""Experienced Backend Developer for Advanced Security & AI-Powered Application (Samscloud)"""
2 hours ago	SR React Developer with CHAT GPT experience	https://www.upwork.com/jobs/React-Developer-with-CHAT-GPT-experience_~021884080542016322204/?referrer_url_path=find_work_home	Job feedback SR React Developer with CHAT GPT experience	Save job SR React Developer with CHAT GPT experience	Fixed-price	Expert	Est. Budget:	$25,000	Looking for a SR. Frontend React developer who can expand, optimize and help maintain the operation of our current Security Incident Management (SaaS). We would like someone who has mastered CHAT GPT. Developer will need to be collaborative and participate in Agile meetings to ensure alignment. The tech stack includes: HTML5, REACT JS DJANGO, PYTHON,  Collaboration Tools: GIT, Jira, Slack.	Skip skills	Previous skills. Update list	React	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626773660942336	Django	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626732309299200	Web Application	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580737240190976	API	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580482322976768	API Integration	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580482566246400	Python	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274386	CSS	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626728794472448	HTML	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626745110315008	Next skills. Update list	Payment verified	Rating is 4 out of 5.	$100K+	spent	United States	20 to 50	more	"about ""SR React Developer with CHAT GPT experience"""
2 hours ago	AI Agent Development and Deployment on AWS	https://www.upwork.com/jobs/Agent-Development-and-Deployment-AWS_~021884079752074351151/?referrer_url_path=find_work_home	Job feedback AI Agent Development and Deployment on AWS	Save job AI Agent Development and Deployment on AWS	Hourly: $35-$60	Expert	Est. Time:	Less than 30 hrs/week	We are seeking an experienced professional to create and deploy AI agents tailored to our company's specific use cases. The ideal candidate will have a strong background in developing AI solutions and deploying them seamlessly on AWS. You will be responsible for managing the end-to-end deployment process, ensuring that the AI agents function optimally in our cloud environment. If you have a passion for AI and a proven track record in AWS deployments, we would love to hear from you.	Skip skills	Previous skills. Update list	Amazon Web Services	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628012691471	Python	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274386	AWS Lambda	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626718476484608	Amazon EC2	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626711912398848	Node.js	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626762999021568							Next skills. Update list	Payment verified	Rating is 0 out of 5.	$0	spent	United States	Less than 5	more	"about ""AI Agent Development and Deployment on AWS"""
2 hours ago	Power BI Specialist - BigQuery Data Visualization	https://www.upwork.com/jobs/Power-Specialist-BigQuery-Data-Visualization_~021884079684406531278/?referrer_url_path=find_work_home	Job feedback Power BI Specialist - BigQuery Data Visualization	Save job Power BI Specialist - BigQuery Data Visualization	Hourly: $15-$30	Intermediate	Est. Time:	Less than 30 hrs/week	"We are looking for a talented Power BI Specialist to help us build dynamic, insightful dashboards by leveraging data from BigQuery. Currently, we rely on a manual process of copying and pasting data into Google Sheets to track weekly, monthly, and quarterly trends. We aim to replace this process with a robust, automated dashboard solution in Power BI to handle larger data sets efficiently and provide a seamless visualization experience.

Responsibilities:

Design and develop Power BI dashboards to visualize data trends (weekly, monthly, quarterly) based on BigQuery datasets.

Automate reporting processes by integrating BigQuery directly into Power BI.

Ensure the dashboards are optimized for performance, scalability, and ease of use.

Provide actionable insights and recommendations based on the data visualizations."	Skip skills	Previous skills. Update list	Sales Analytics	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1253342893717467136	Operations Analytics	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1253342889003069440	Marketing Analytics	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1253342885563740160	Product Analytics	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1253342891473514496	Dashboard	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1225465936942960640	Time Series Analysis	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626786730393600	BigQuery	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626719441174528	Microsoft Power BI	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626759018627072	Next skills. Update list	Payment verified	Rating is 4.7 out of 5.	$100K+	spent	United States	10 to 15	more	"about ""Power BI Specialist - BigQuery Data Visualization"""
2 hours ago	ManyChat Chatbot Development and Management	https://www.upwork.com/jobs/ManyChat-Chatbot-Development-and-Management_~021884077821075866075/?referrer_url_path=find_work_home	Job feedback ManyChat Chatbot Development and Management	Save job ManyChat Chatbot Development and Management	Hourly: $15-$38	Intermediate	Est. Time:	30+ hrs/week	We are seeking a skilled freelancer to help us build and manage chatbots using ManyChat. The ideal candidate should have experience with chatbot design, user engagement strategies, and analytics to enhance our customer interactions. This role involves creating automated flows, integrating with other platforms, and optimizing the chatbot based on user feedback. If you're passionate about leveraging chatbots to improve customer service, we want to hear from you!	Skip skills	Previous skills. Update list	Chatbot Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626723769696256	ManyChat	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626756216832000	Lead Generation	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626753582809088	Messenger Marketing	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626757970051072	Bot Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626721043398656							Next skills. Update list	Payment verified	Rating is 5 out of 5.	$7K+	spent	United States	10 to 15	more	"about ""ManyChat Chatbot Development and Management"""
2 hours ago	Data Engineer (GCP) Needed to Build Data Pipelines for AI Project	https://www.upwork.com/jobs/Data-Engineer-GCP-Needed-Build-Data-Pipelines-for-Project_~021884073526821245487/?referrer_url_path=find_work_home	Job feedback Data Engineer (GCP) Needed to Build Data Pipelines for AI Project	Save job Data Engineer (GCP) Needed to Build Data Pipelines for AI Project	Hourly	Intermediate	Est. Time:	Less than 30 hrs/week	We are seeking an experienced Data Engineer to design and build efficient data pipelines for our AI project. The ideal candidate will have a strong background in data architecture and experience developing with the Google Cloud Platform (GCP). You will be responsible for designing scalable data pipelines, ensuring data quality, and optimizing data workflows. If you are passionate about data engineering and have experience with related technologies, we want to hear from you!	Skip skills	Previous skills. Update list	Python	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274386	ETL Pipeline	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580563717640192	BigQuery	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626719441174528	Data Modeling	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626730296033280	Data Management	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626730241507328	Data Processing	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626730337976320					Next skills. Update list	Payment unverified	Rating is 0 out of 5.	$0	spent	United States	5 to 10	more	"about ""Data Engineer (GCP) Needed to Build Data Pipelines for AI Project"""
2 hours ago	AI Web App Development with OCR Capabilities	https://www.upwork.com/jobs/Web-App-Development-with-OCR-Capabilities_~021884073118089401550/?referrer_url_path=find_work_home	Job feedback AI Web App Development with OCR Capabilities	Save job AI Web App Development with OCR Capabilities	Hourly: $16-$30	Intermediate	Est. Time:	Less than 30 hrs/week	"We are seeking a talented developer to create an AI-powered web application capable of answering a set of questions based on a series of PDF records. The app should intelligently analyze the extracted text and generate specific, contextually relevant responses. 

I specifically need two important features:

1) Users will upload a set of questions (in PDF form). They will then upload a set of supporting documents. The AI must use the information in the supporting documents to answer the question set. 

2) The LLM API must have strict security/confidentiality features and not train its model based on my user's input. (Microsoft's OpenAI API may meet this?) 

The ideal candidate will possess experience in machine learning, web development, and OCR technology. This project offers a unique opportunity to innovate and enhance user interaction through advanced AI functionalities."	Skip skills	Previous skills. Update list	Artificial Intelligence	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626716094119936	Python	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274386	Machine Learning	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626755474440192	API	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580482322976768	Java	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274382							Next skills. Update list	Payment verified	Rating is 5 out of 5.	$300+	spent	United States	20 to 50	more	"about ""AI Web App Development with OCR Capabilities"""
2 hours ago	AI-Powered Chatbot Developer for WordPress Integration	https://www.upwork.com/jobs/Powered-Chatbot-Developer-for-WordPress-Integration_~021884072971151819227/?referrer_url_path=find_work_home	Job feedback AI-Powered Chatbot Developer for WordPress Integration	Save job AI-Powered Chatbot Developer for WordPress Integration	Fixed-price	Intermediate	Est. Budget:	$400	We are seeking an experienced AI-Powered Chatbot Developer to create a chatbot using the OpenAI API for our WordPress website. The ideal candidate will have prior experience in integrating AI chatbots into WordPress sites and will be responsible for ensuring seamless functionality and user engagement. The project includes designing chatbot interactions, optimizing responses, and providing ongoing support. If you have a passion for AI technology and a knack for creating user-friendly experiences, we would love to hear from you!	Skip skills	Previous skills. Update list	API	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580482322976768	JavaScript	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274383	Chatbot Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626723769696256	Python	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274386	Artificial Intelligence	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626716094119936							Next skills. Update list	Payment verified	Rating is 5 out of 5.	$20K+	spent	United States	5 to 10	more	"about ""AI-Powered Chatbot Developer for WordPress Integration"""
