text-caption 2	air3-link	air3-link href	sr-only	sr-only 2	text-light 2	text-light 4	text-light 6	text-light 7	air3-line-clamp	air3-btn-link-secondary	sr-only 3	air3-token	air3-token href	air3-token 2	air3-token href 2	air3-token 3	air3-token href 3	text-light 8	sr-only 6	d-inline-block	d-inline-flex	text-base-sm	air3-token 4	air3-token href 4	air3-token 5	air3-token href 5	air3-token 6	air3-token href 6	air3-token 7	air3-token href 7	air3-token 8	air3-token href 8	air3-token 9	air3-token href 9
5 hours ago	AI Automation Workflow Development for Social Media and Multimedia Projects	https://www.upwork.com/jobs/Automation-Workflow-Development-for-Social-Media-and-Multimedia-Projects_~021884828997943141734/?referrer_url_path=find_work_home	Job feedback AI Automation Workflow Development for Social Media and Multimedia Projects	Save job AI Automation Workflow Development for Social Media and Multimedia Projects	Fixed-price	Intermediate	Est. Budget:	$100	We are seeking a skilled freelancer to design and implement AI automation workflows specifically for social media management. Additionally, the candidate will work on projects involving script storyboarding and multimedia generation, including video and image creation using Make.com and other relevant tools. The ideal candidate will have a strong understanding of AI applications and automation techniques to enhance our workflows effectively.	more	"about ""AI Automation Workflow Development for Social Media and Multimedia Projects"""	Web Application	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580737240190976	AI App Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1691099314241679360	AI Bot	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1691099314170376192	Payment verified	Rating is 4.8 out of 5.	$600+	United States	10 to 15	AI Model Integration	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1623716863997775872	AI Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1691099314254262272	API Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626714051493888	Google Analytics	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626741842952192	ASP.NET	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626716513550336	Angular	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628012691468
5 hours ago	AI Developer for Real-Time Object Detection Project	https://www.upwork.com/jobs/Developer-for-Real-Time-Object-Detection-Project_~021884828742109859859/?referrer_url_path=find_work_home	Job feedback AI Developer for Real-Time Object Detection Project	Save job AI Developer for Real-Time Object Detection Project	Hourly: $18-$45	Intermediate	Est. Time:	30+ hrs/week	We are seeking an experienced AI developer to join our team for a real-time object detection project. The ideal candidate should have a strong background in machine learning, deep learning, and computer vision techniques. You will be responsible for designing and implementing algorithms to detect and classify objects in video streams. Familiarity with frameworks like TensorFlow or PyTorch is a must and experience with YOLO would be great! If you have a passion for innovative AI solutions and a track record in real-time systems, we would love to hear from you!	more	"about ""AI Developer for Real-Time Object Detection Project"""	TensorFlow	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626785698594816	Machine Learning	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626755474440192	Computer Vision	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626726596657152	Payment verified	Rating is 4.8 out of 5.	$40K+	Croatia	50+	Neural Network	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580640142053376	Python	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274386								
5 hours ago	Looker Studio Report Builder	https://www.upwork.com/jobs/Looker-Studio-Report-Builder_~021884826865221716005/?referrer_url_path=find_work_home	Job feedback Looker Studio Report Builder	Save job Looker Studio Report Builder	Fixed-price	Intermediate	Est. Budget:	$200	"We are committed to leveraging data to drive decision-making and business success. We're looking for a Looker Studio Report Builder and Specialist to join our dynamic team and help transform raw data into insightful dashboards that will guide our strategic initiatives.

Role Summary
As a Looker Studio Specialist, you will be responsible for designing, developing, and maintaining interactive dashboards and reports in Looker Studio. You will work closely with our data analysts and business teams to ensure that our stakeholders have the insights they need at their fingertips.

Key Responsibilities
Design and build comprehensive dashboards and reports in Looker Studio to support various business functions.
Work with stakeholders to understand their data visualization needs and translate them into clear and actionable insights.
Maintain and optimize existing Looker Studio dashboards for performance and scalability.
Collaborate with data engineers and analysts to ensure data accuracy and integrity in reporting.
Provide training and support to team members on using Looker Studio effectively.
Stay updated with the latest trends and advancements in data visualization and business intelligence tools.

Qualifications
Proven experience in data visualization and dashboard creation, specifically using Looker Studio (formerly Google Data Studio).
Strong understanding of SQL and experience working with databases.
Excellent analytical skills and attention to detail.
Ability to communicate complex data in a clear and concise manner to non-technical stakeholders.
Experience in integrating various data sources into Looker Studio.
Bachelor’s degree in Information Technology, Computer Science, Statistics, or related field.

How to Apply
1. Share ONE LINK example of a Looker Studio report you built from a template.
2. Share ONE LINK example of a Looker Studio report you built from scratch (not a template).

We look forward to exploring how your skills and experiences can contribute to our team’s success."	more	"about ""Looker Studio Report Builder"""	Looker Studio	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626742065250304	Data Visualization	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1052162208890146823	Data Analysis	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626729515892736	Payment verified	Rating is 5.0 out of 5.	$10K+	Netherlands	5 to 10	Google Analytics	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626741842952192	Business Intelligence	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626721978728448								
5 hours ago	Experienced Tableau Server Administrator Needed	https://www.upwork.com/jobs/Experienced-Tableau-Server-Administrator-Needed_~021884823476551258131/?referrer_url_path=find_work_home	Job feedback Experienced Tableau Server Administrator Needed	Save job Experienced Tableau Server Administrator Needed	Fixed-price	Expert	Est. Budget:	$924.05	We are seeking an experienced Tableau Server Administrator with 7-10 years of expertise in managing and maintaining Tableau Server environments. The ideal candidate should have a strong background in Linux, SQL, and Unix scripting. You will be responsible for server installations, performance tuning, user management, and troubleshooting issues that arise within the Tableau ecosystem. If you have a passion for data visualization and a proven track record in server administration, we would love to hear from you.	more	"about ""Experienced Tableau Server Administrator Needed"""	Tableau	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626784704544768	SQL	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626782364123136	Microsoft Excel	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626758615973888	Payment verified	Rating is 0 out of 5.	$0	India	5 to 10	Python	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274386	Data Visualization	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1052162208890146823								
5 hours ago	Dune Analytics Dashboard Development for Solana Coin	https://www.upwork.com/jobs/Dune-Analytics-Dashboard-Development-for-Solana-Coin_~021884822471918036109/?referrer_url_path=find_work_home	Job feedback Dune Analytics Dashboard Development for Solana Coin	Save job Dune Analytics Dashboard Development for Solana Coin	Fixed-price	Intermediate	Est. Budget:	$75	We are seeking a skilled developer to create a custom Dune Analytics dashboard focused on a specific cryptocurrency on the Solana blockchain. The ideal candidate should have experience with Dune Analytics and a solid understanding of blockchain data visualization. You will work closely with our team to gather requirements and design a dashboard that effectively displays key metrics and insights. If you have a passion for crypto and data analytics, we would love to hear from you!	more	"about ""Dune Analytics Dashboard Development for Solana Coin"""	Data Analysis	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626729515892736	Dune Analytics	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=free_text	Blockchain	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626720351338496	Payment verified	Rating is 4.8 out of 5.	$5K+	Australia	5 to 10												
8 hours ago	Machine Learning Expert Needed for Innovative Project	https://www.upwork.com/jobs/Machine-Learning-Expert-Needed-for-Innovative-Project_~021884779929863807932/?referrer_url_path=find_work_home	Job feedback Machine Learning Expert Needed for Innovative Project	Save job Machine Learning Expert Needed for Innovative Project	Hourly: $30-$60	Intermediate	Est. Time:	Less than 30 hrs/week	We are seeking a skilled machine learning expert to help us develop and implement advanced algorithms for our upcoming project. The ideal candidate will have hands-on experience with data analysis, modeling techniques, and deploying machine learning solutions. You'll work closely with our team to deliver a robust system that meets our goals. If you are passionate about machine learning and have a proven track record, we would love to hear from you!	more	"about ""Machine Learning Expert Needed for Innovative Project"""	Python	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274386	Machine Learning	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626755474440192	TensorFlow	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626785698594816	Payment unverified	Rating is 0 out of 5.	$0	United States	15 to 20	Data Science	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626730384113664	Artificial Intelligence	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626716094119936								
8 hours ago	EdTech Digital Marketing Specialist (Automated Campaigns & Retargeting)	https://www.upwork.com/jobs/EdTech-Digital-Marketing-Specialist-Automated-Campaigns-Retargeting_~021884779827374957926/?referrer_url_path=find_work_home	Job feedback EdTech Digital Marketing Specialist (Automated Campaigns & Retargeting)	Save job EdTech Digital Marketing Specialist (Automated Campaigns & Retargeting)	Fixed-price	Expert	Est. Budget:	$12,000	"Urgent: Scale Trial Sign-Ups for fast-growing EdTech startup trusted by 300k+ families

Job Description: 
We’re scaling trial sign-ups for an award-winning Mandarin learning platform. We need a data-driven marketer to: 
- Launch automated Google/Facebook ad campaigns targeting parents of kids aged 3-15. 
- Optimize retargeting strategies to recover 30-50% of abandoned free trials (e.g., dynamic ads + email sequences). 
- A/B test ad creatives (video demos vs. parent testimonials) and audience segments. 
- Maintain CPA ≤ $300 while scaling campaigns. 

Requirements: 
- 3+ years in EdTech or subscription-based digital marketing. 
- Portfolio of campaigns with CPA ≤ $300 and ROAS ≥ 3x. 
- Expertise in Meta Ads Manager, Google Analytics, and retargeting tools (e.g., Klaviyo). 
- Bonus: Experience with influencer partnerships in parenting/education niches. 

Renumeration: 
$500-$1000 per month (after we discuss) 
Can become long term opportunity"	more	"about ""EdTech Digital Marketing Specialist (Automated Campaigns & Retargeting)"""	Facebook	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1052162208978227208	Retargeting	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626774969565184	Campaign Optimization	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580511716659200	Payment verified	Rating is 5.0 out of 5.	$20K+	Australia	20 to 50	Google Ads	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626741817786368	Campaign Management	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626722553348096	Marketing Strategy	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626756493656064	Social Media Marketing	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626781114220544	Lead Generation	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626753582809088	Internet Marketing	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626749027794944
8 hours ago	Need to create my own Ai model	https://www.upwork.com/jobs/Need-create-own-model_~021884778442047710140/?referrer_url_path=find_work_home	Job feedback Need to create my own Ai model	Save job Need to create my own Ai model	Fixed-price	Expert	Est. Budget:	$500	"Description:
I am looking to build a new project to create an AI model that will be installed and run entirely on my dedicated server. The goal is to train the AI using a library of 100 books (and growing) containing all relevant content. The AI should be capable of answering any questions based on the data from these books, providing accurate and precise responses.

Key requirements:

The solution must operate locally on my server without relying on third-party APIs, tokens, or external services.

No ongoing costs for tokens or API usage—everything should run independently on my infrastructure.

I suggest using the DeepSeek model or any other suitable open-source/local AI framework.

If you have experience in AI model development, server deployment, and working with large datasets, I’d love to hear from you. Please share your approach and relevant experience when applying."	more	"about ""Need to create my own Ai model"""	Artificial Intelligence	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626716094119936	Python	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274386	Deep Learning	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626730904207360	Payment verified	Rating is 5.0 out of 5.	$50K+	Egypt	15 to 20	Data Science	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626730384113664	Machine Learning	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626755474440192								
8 hours ago	Data Analyst and Data Mining Specialist Needed	https://www.upwork.com/jobs/Data-Analyst-and-Data-Mining-Specialist-Needed_~021884776943728043366/?referrer_url_path=find_work_home	Job feedback Data Analyst and Data Mining Specialist Needed	Save job Data Analyst and Data Mining Specialist Needed	Fixed-price	Intermediate	Est. Budget:	$10.75	We are seeking a talented data analyst with expertise in data mining to support our upcoming project. The ideal candidate will be proficient in extracting insights from large datasets, identifying trends, and presenting data-driven recommendations. You should have a strong analytical mindset and the ability to communicate complex information clearly. If you have experience in statistical analysis and data visualization tools, we would love to hear from you!	more	"about ""Data Analyst and Data Mining Specialist Needed"""	Microsoft Excel	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626758615973888	Data Mining	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626730287644672	Data Entry	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626730136649728	Payment unverified	Rating is 0 out of 5.	$0	United States	10 to 15	Data Analysis	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626729515892736	Python	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274386								
8 hours ago	Automation & Systems Integration Specialist - Technical Problem Solver	https://www.upwork.com/jobs/Automation-Systems-Integration-Specialist-Technical-Problem-Solver_~021884775599000624255/?referrer_url_path=find_work_home	Job feedback Automation & Systems Integration Specialist - Technical Problem Solver	Save job Automation & Systems Integration Specialist - Technical Problem Solver	Hourly	Intermediate	Est. Time:	Less than 30 hrs/week	"Project Overview:

We're seeking an analytical problem-solver to design and implement automated workflows for our client onboarding process. You'll create efficient systems that gather, process, and utilize data from multiple sources to configure AI receptionists and build comprehensive knowledge bases.

About Us:

We're revolutionizing business communication by providing AI phone receptionists that handle calls with human-like understanding and efficiency. Our mission is to make professional phone support accessible to businesses of all sizes. We're now looking to streamline our client onboarding process to deliver faster, more accurate AI receptionist setups while maintaining the high quality our clients expect.

Key Responsibilities:

- Design and architect end-to-end automated workflows (preferably using Zapier/Make.com, but open to other suggested solutions)
- Create integration systems that extract and process data from client websites using https://www.firecrawl.dev/extract
- Develop automated processes to transform collected data into AI receptionist configurations and knowledge bases
- Set up and optimize multi-step data collection processes, including automated phone interactions
- Structure and implement data validation and quality control measures
- Build scalable solutions that can grow with our business

Required Skills & Qualities:

- Strong analytical mindset with exceptional attention to detail
- Proven experience building complex automations
- Deep understanding of APIs, webhooks, and system integration concepts
- Experience with data extraction and transformation
- Ability to think systematically and identify potential process bottlenecks
- Strong technical documentation skills
- Clear communication skills for collaboration on system design

Ideal Candidate:

- Has experience building automated workflows that handle complex business logic
- Can break down complex problems into manageable components
- Takes initiative in suggesting process improvements
- Is detail-oriented in both planning and implementation
- Has a track record of delivering reliable, maintainable solutions

Project Type: Initial system build with potential for ongoing optimization and expansion

Important: When submitting your proposal, please start your first sentence with the word ""Receptionist""."	more	"about ""Automation & Systems Integration Specialist - Technical Problem Solver"""	Zapier	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626797853687808	Make.com	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1225465944849223680	firecrawl.dev	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=free_text	Payment verified	Rating is 5.0 out of 5.	$4K+	Australia	10 to 15	API	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580482322976768	Google Sheets	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626742425960448	Google Docs	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626742073638912						
8 hours ago	Remote IT Developer for Decision Support & Planning System	https://www.upwork.com/jobs/Remote-Developer-for-Decision-Support-Planning-System_~021884775107403029631/?referrer_url_path=find_work_home	Job feedback Remote IT Developer for Decision Support & Planning System	Save job Remote IT Developer for Decision Support & Planning System	Fixed-price	Expert	Est. Budget:	$10,000	"Project Overview:
Seeking an experienced IT developer to build a comprehensive information management system that will support decision-making, planning, and reporting operations. The system will serve as a central platform for risk management and adaptation planning, integrating various data sources to enable informed decision-making and reporting.

The system will:
1. Consolidate and manage planning and operational data
2. Support evidence-based decision-making processes
3. Enable comprehensive reporting and analysis
4. Track historical trends and patterns
5. Facilitate risk assessment and adaptation planning
6. Generate insights through data visualization
7. Support both operational and strategic planning needs

System Requirements:
1. Multi-user access with different permission levels
2. Centralized data repository
3. Data input from multiple locations
4. Advanced reporting and analytics capabilities
5. Integration with GIS functionality
6. Document management system
7. Customizable dashboards
8. Data visualization tools
9. Cloud-based backup system
10. User activity tracking
11. Data export capabilities

Required Qualifications:
1. Post-graduate qualification in Computer Programming, Information Technology, or related field
2. Experience developing decision support systems
3. Expertise in GIS implementation
4. Experience with data analytics and visualization
5. Experience working in the Pacific region
6 Strong remote collaboration skills
7. Track record of delivering projects on time

Technical Skills Required:
1. Database design and management
2. GIS development and integration
3. Cloud infrastructure setup
4. Web application development
5. Data analytics and visualization
6. API development
7. Documentation creation

Project Timeline:
- Development period: 3 months
- Additional 1 month for testing and refinements
- Includes post-deployment technical support

Working Arrangement:
- Remote work
- Regular virtual communication

Budget Range: $5,000 - $10,000 for complete system development

Please include in your proposal:
- Total project cost
- Similar projects completed
- Brief overview of your development approach
- Sample of relevant work

Interested candidates should submit their proposals with CV and work examples."	more	"about ""Remote IT Developer for Decision Support & Planning System"""	Database Architecture	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580541408137216	Git	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626741293498368	API	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580482322976768	Payment verified	Rating is 5.0 out of 5.	$10K+	Kiribati	20 to 50	JavaScript	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274383	GIS Software	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1484275083175972864	Cloud Implementation	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1270387307006115840						
9 hours ago	AWS EKS Deployment for Chatbot-UI Application	https://www.upwork.com/jobs/AWS-EKS-Deployment-for-Chatbot-Application_~021884772758683357203/?referrer_url_path=find_work_home	Job feedback AWS EKS Deployment for Chatbot-UI Application	Save job AWS EKS Deployment for Chatbot-UI Application	Fixed-price	Intermediate	Est. Budget:	$100	"Project Title: Deployment of Chatbot-UI Application on AWS EKS with Supabase Integration and Language Model Configuration

Project Overview: I am seeking an experienced developer to deploy the Chatbot-UI application onto Amazon Web Services (AWS) Elastic Kubernetes Service (EKS). The deployment should be configured to integrate with Supabase for database management and incorporate one or more language models to ensure full functionality. Post-deployment, I require assistance in accessing and testing the application to ensure it operates as intended.

Key Deliverables:

AWS EKS Cluster Setup:
Provision and configure an EKS cluster suitable for the application.
Ensure the cluster is optimized for scalability and performance.
Application Deployment:
Containerize the Chatbot-UI application using Docker.
Deploy the containerized application onto the EKS cluster.
Implement continuous integration and deployment (CI/CD) pipelines for streamlined updates.
Supabase Integration:
Set up a Supabase project and configure the necessary database schemas.
Integrate Supabase authentication and real-time features into the application.
Language Model Configuration:
Integrate one or more language models to power the chatbot functionality.
Ensure the models are optimized for performance and accuracy.
Testing and Validation:
Provide access credentials and instructions for application testing.
Assist in conducting end-to-end testing to validate functionality.
Address any issues or bugs identified during the testing phase.
Documentation and Training:
Deliver comprehensive documentation detailing the deployment process, configurations, and operational guidelines.
Offer a walkthrough or training session to familiarize me with the application's deployment and management.
Technical Requirements:

Technologies:
Node.js
Next.js
Kubernetes
Supabase
AWS (EKS, IAM, VPC, RDS, etc.)
Skills:
Proficiency in containerization and orchestration using Docker and Kubernetes.
Experience with deploying applications on AWS, specifically EKS.
Familiarity with integrating Supabase into web applications.
Knowledge of implementing and fine-tuning language models.
Additional Information:

Timeline: Please provide an estimated timeline for each deliverable and the overall project completion.
Budget: Indicate your proposed budget or hourly rate for this project.
Communication: Specify your preferred communication channels and availability for regular updates.
Portfolio: Share examples of similar projects you've completed, highlighting your experience with the required technologies.
References: Provide references or testimonials from previous clients, if available.
One-Sentence Summary: Deploy and configure the Chatbot-UI application on AWS EKS with Supabase integration and language model setup, ensuring full functionality and providing access for testing and validation.

By providing this detailed project description, you will help potential freelancers understand your requirements clearly, enabling them to propose effectively and ensuring a successful collaboration."	more	"about ""AWS EKS Deployment for Chatbot-UI Application"""	Kubernetes	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626753024966656	Linux	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626754568470528	Git	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626741293498368	Payment verified	Rating is 0 out of 5.	$0	United States	5 to 10	npm	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580642381811712	Bash	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626718942052352	CI/CD	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580518297522176	Business with 1-9 Employees	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1204836481842135040	Amazon Web Services	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628012691471	Node.js	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626762999021568
9 hours ago	Fractional COO for Digital Marketing Agency	https://www.upwork.com/jobs/Fractional-COO-for-Digital-Marketing-Agency_~021884770992099779516/?referrer_url_path=find_work_home	Job feedback Fractional COO for Digital Marketing Agency	Save job Fractional COO for Digital Marketing Agency	Hourly: $20-$95	Expert	Est. Time:	30+ hrs/week	"We are seeking a highly strategic and proactive Fractional Chief Operating Officer (COO) to join our dynamic team.

The mission of your role is to build, optimize, and manage the operations of our digital marketing agency to ensure efficiency and scalability.

We're a 100% remote digital marketing agency specializing in Traffic and Conversion Rate Optimization for Ecommerce stores. As the COO, you will play a crucial role in steering the operations and service delivery of our agency, ensuring we meet our goals of helping our clients grow and profit.

Responsibilities:
Outline & lead the documentation of our service
    - Work with the service delivery team to understand how they deliver their service
    - Map out the service in a flowchart fashion to identify the processes and assets required (SOPs, Automations, etc)
    - Identify inefficiencies and make adjustments to the system to maximize productivity
    - Prioritize SOPs and Automation creation and delegate to the team for creation
    - Testing and implementation of processes in service delivery

Development of Project Management Process
    - Create a system for ensuring service delivery using project management software (ClickUp)
    - Create training, processes and guides for the team to use the system
    - Train our Project Manager on the use of the system (how to maintain and ensure team are delivering)

Team Leadership and Development
    - Oversee the service delivery teams, ensuring they are well-organized and effectively managed. Responsibilities include:
        - Recruiting, training, and retaining skilled marketing professionals.
        - Developing leadership within the team to foster a strong and independent management layer.
        - Enhancing team structure or dynamics to better meet organizational goals.
    - Work with CEO to develop repeatable hiring process

Metrics and Reporting
    - Understand the financial objectives of the agency and create and set up relevant KPIs to measure efficiency and effectiveness of operations
    - Create reporting and dashboards to provide insight into company performance
    - Create training for maintenance of reporting systems for staff

What We're Looking For:

- Proven experience as a COO or in a similar leadership role, preferably within a digital marketing agency
- Ideally you have experience taking a company from 5-10 team members to 30+, building the necessary systems and processes, and ensuring their implementation by the team.
- Understanding of digital marketing channels
- Excellent organizational, leadership, and decision-making skills.
- Outstanding communication and interpersonal abilities.
- Ability to work remotely and manage teams across different time zones."	more	"about ""Fractional COO for Digital Marketing Agency"""	Operations Analytics	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1253342889003069440					Payment verified	Rating is 5.0 out of 5.	$20K+	United States	15 to 20												
9 hours ago	Chatbot Prompt Integration into Copilot Agent	https://www.upwork.com/jobs/Chatbot-Prompt-Integration-into-Copilot-Agent_~021884769589166974312/?referrer_url_path=find_work_home	Job feedback Chatbot Prompt Integration into Copilot Agent	Save job Chatbot Prompt Integration into Copilot Agent	Hourly	Entry level	Est. Time:	Less than 30 hrs/week	"**Job Description:**

We seek a skilled freelancer to transform predefined chatbot prompts into a Copilot agent, enhancing user interaction. The ideal candidate should have experience in chatbot development and a strong understanding of Copilot functionalities. If you're passionate about AI and creating engaging conversational flows, we want to hear from you!

**Responsibilities:**
- Review and understand the provided chatbot prompts.
- Enter the prompts into the Copilot agent interface.
- Ensure that all prompts are correctly formatted and functional.
- Test the prompts within the Copilot system to verify accuracy and performance."	more	"about ""Chatbot Prompt Integration into Copilot Agent"""	Chatbot Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626723769696256	Microsoft 365 Copilot	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1653395151698432000	Chatbot	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1253342869935763456	Payment verified	Rating is 5.0 out of 5.	$700+	United States	10 to 15												
9 hours ago	Pinecone Setup for Airbyte Integration	https://www.upwork.com/jobs/Pinecone-Setup-for-Airbyte-Integration_~021884768377271437349/?referrer_url_path=find_work_home	Job feedback Pinecone Setup for Airbyte Integration	Save job Pinecone Setup for Airbyte Integration	Hourly: $12-$27	Intermediate	Est. Time:	Less than 30 hrs/week	We are seeking a skilled freelancer to assist with the setup of Pinecone for integration with Airbyte. The ideal candidate will have experience with both Pinecone and Airbyte, ensuring seamless data flow and synchronization. Your responsibilities will include installing and configuring Pinecone, troubleshooting any issues, and providing guidance on best practices for integration. A solid understanding of data pipelines and cloud infrastructure is essential. If you have a proven track record in this area, we would love to hear from you!	more	"about ""Pinecone Setup for Airbyte Integration"""	API	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580482322976768	Python	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274386	Pinecone	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1691099315009236992	Payment verified	Rating is 0 out of 5.	$0	United States	Less than 5	airbyte	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=free_text										
9 hours ago	Advanced Langchain LLM Developer Needed	https://www.upwork.com/jobs/Advanced-Langchain-LLM-Developer-Needed_~021884768441125521445/?referrer_url_path=find_work_home	Job feedback Advanced Langchain LLM Developer Needed	Save job Advanced Langchain LLM Developer Needed	Hourly: $19-$30	Expert	Est. Time:	Less than 30 hrs/week	"About the Project

We are developing an advanced domain specific (sports) FastAPI-powered chatbot backend designed for high-performance, real-time AI interactions over WebSockets. The system integrates multiple LLM-powered agent chains, leverages vector search technologies, and incorporates structured outputs, memory, and caching to ensure efficient and intelligent responses.

What We’re Looking For

We need a highly skilled LangChain AI/LLM developer who can take ownership of the system’s agentic workflows and integrate state-of-the-art AI tools seamlessly. The ideal candidate should have extensive experience with LangChain, FastAPI, and LLM-based chat systems, and should be able to build, refine, and optimize real-time AI pipelines.

Key Responsibilities
	•	Develop a FastAPI-based chatbot backend that runs through a WebSocket connection for real-time AI interactions.
	•	Implement and optimize LangChain agent chains with structured output formatting.
	•	Integrate existing AI tools into agent workflows, including:
	•	SQL Agent (built and operational)
	•	Databricks Vector Search Index (built and operational)
	•	Qdrant Vector Semantic Search (built and operational)
	•	Enhance system memory and session retention using LangChain’s chat memory framework.
	•	Implement streaming responses to ensure real-time, high-performance AI interactions.
	•	Develop a caching mechanism based on high-similarity (96%+) vector search for improved efficiency.
	•	Optimize prompt engineering strategies for structured and contextually relevant AI outputs.
	•	Fine-tune and refine vector database integrations to ensure high recall and precision in retrieval-augmented generation (RAG).
	•	Debug, optimize, and scale the system for production use, ensuring low latency and high reliability."	more	"about ""Advanced Langchain LLM Developer Needed"""	Python	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274386	LangChain	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1691099315676131329			Payment verified	Rating is 5.0 out of 5.	$80K+	United States	50+												
