rating	total_spent_by_client	country	payment_verified	job_url_main	job_title	job_description	time_posted	hourly_rate	skill_level	estimated_time	estimated_budget	tags
Rating is 0 out of 5.	$500	Ghana	Payment verified	https://www.upwork.com/jobs/Website-and-Admin-Dashboard-Development-for-Nursing-Training-Students_~021883685042711157514/?referrer_url_path=find_work_home	Website and Admin Dashboard Development for Nursing Training Students	"We are seeking a skilled developer to create a website and admin dashboard tailored for local nursing training students, similar to Plabable. The frontend is already completed, so we need someone to focus on backend development and integration. The ideal candidate should have experience in building intuitive dashboards and a strong understanding of website functionality, particularly in an educational context. If you are passionate about enhancing learning experiences and have the skills 

to implement efficient admin tools, we would love to hear from you.

**Relevant Skills:**
- Backend Development (Node.js, Python, PHP)
- Database Management (MySQL, MongoDB)
- API Integration, including local mobile money payment with paystack
- Admin Dashboard Design
- Educational Software Development
- User Authentication and Security"	4 hours ago	Fixed-price	Intermediate	Est. Budget:	$400	['Web Design', 'Web Development', 'JavaScript', 'HTML', 'WordPress']
Rating is 5 out of 5.	$1K+	United States	Payment verified	https://www.upwork.com/jobs/Supabase-Deployment-Review-for-Bolt-new-Project_~021883680368562104041/?referrer_url_path=find_work_home	Supabase Deployment Review for Bolt.new Project	I am seeking an experienced developer to review a project I have started on bolt.new, which is utilizing Supabase for its backend. The project has encountered deployment issues, and I need a thorough assessment to identify and resolve these problems. The ideal candidate should have hands-on experience with Supabase and be familiar with deployment workflows. Your insights will be crucial in ensuring a smooth launch. Please include examples of similar projects you have worked on.	5 hours ago	Hourly: $15-$35	Intermediate	Est. Time:	Less than 30 hrs/week	['JavaScript', 'Web Development', 'PHP', 'Web Design', 'Python', 'react.js', 'Node.js', 'HTML']
Rating is 5 out of 5.	$1K+	USA	Payment verified	https://www.upwork.com/jobs/React-Node-Developer-with-Expertise-Needed_~021883679356301851292/?referrer_url_path=find_work_home	React & Node Developer with ML Expertise Needed	We are seeking a skilled developer proficient in React and Node.js, with a strong background in machine learning. The ideal candidate should be able to integrate ML models into web applications and possess excellent communication skills in English. You'll be working on an innovative project that requires both frontend and backend development expertise. If you are passionate about creating efficient solutions and can collaborate effectively with our team, we want to hear from you!	5 hours ago	Hourly: $15-$25	Intermediate	Est. Time:	Less than 30 hrs/week	['Node.js', 'React', 'JavaScript', 'API', 'Python', 'CSS', 'HTML', 'Amazon Web Services']
Rating is 5 out of 5.	$10K+	United Arab Emirates	Payment verified	https://www.upwork.com/jobs/Bot-Crypto-Trading_~021883674056837157423/?referrer_url_path=find_work_home	Ai Bot, Crypto Trading	"Project Overview: Advanced Cryptocurrency Futures Trading AI Bot

I am looking to develop an advanced AI-powered cryptocurrency futures trading bot capable of achieving a target accuracy rate of 65%-75% in predicting trades. The bot will use a combination of machine learning models, sentiment analysis, and technical analysis to make informed trading decisions, execute trades automatically, and manage risks effectively. The bot should operate in real-time and integrate with major cryptocurrency exchanges via APIs.

Key Features and Functionalities
1. Core Objectives
Analyse market trends and predict price movements with an accuracy target of 65%-75%.
Execute trades in the cryptocurrency futures market based on the predictions.
Manage risks effectively through stop-loss, take-profit, and position sizing strategies.
Include a feedback loop to optimise and improve trading strategies over time.

2. Key Components
Data Collection and Integration:

Collect real-time market data (price, volume, order book data) from cryptocurrency exchanges like Binance, Coinbase, or Bybit.

Access historical data for model training and backtesting.
Incorporate sentiment analysis by scraping news sources, Twitter, Reddit, and other platforms for relevant market sentiment.

Machine Learning Model:

Use advanced AI models such as LSTM (Long Short-Term Memory), Reinforcement Learning, or other deep learning approaches.
Combine these with technical indicators (e.g., RSI, MACD, Bollinger Bands) for a hybrid approach.
Train the model on historical data to predict price movements and generate trade signals.

Sentiment Analysis:

Implement NLP (Natural Language Processing) models to assess market sentiment from news and social media.
Use pre-trained models like Transformers (BERT, GPT) or custom-trained sentiment models.
Incorporate sentiment data as an additional feature for the trading model.

Trading Strategies:

Focus on trend-following and swing trading strategies for high-probability setups.
Include multi-timeframe analysis to improve trade reliability.
Design strategies with a focus on a risk-to-reward ratio of at least 1:2 or 1:3.

Risk Management:

Automatically set stop-loss and take-profit levels based on predefined parameters.
Manage leverage to minimise risk, particularly in volatile markets.
Incorporate position sizing algorithms to optimise capital allocation.

Backtesting and Simulation:

Allow for backtesting on historical data to evaluate the performance of strategies.
Include a paper trading mode to test the bot in real-time without risking actual funds.

Execution Engine:

Integrate with cryptocurrency exchanges via their APIs for trade execution.
Ensure low-latency trading to capture the best prices.

Monitoring and Alerts:

Provide a dashboard for monitoring live performance, account balance, and open trades.
Send alerts for significant events (e.g., margin calls, large losses) via email, SMS, or app notifications.

Feedback Loop:

Implement a feedback mechanism to refine the model based on performance over time.
Log trade outcomes and use the data to retrain the AI for improved accuracy.
Technical Requirements
1. Programming Language and Frameworks
Language: Python (preferred) or other suitable languages for AI development.
AI Frameworks: TensorFlow, PyTorch, or scikit-learn for machine learning.
Data Analysis: Pandas, NumPy.
Sentiment Analysis: Hugging Face Transformers, NLTK, SpaCy.
2. API Integration
Integrate with major exchanges like Binance, Bybit, or Coinbase using their REST/WebSocket APIs.
Ensure secure handling of API keys and account credentials.
3. Cloud and Deployment
Host the bot on a cloud platform (e.g., AWS, Google Cloud, Azure) for scalability and 24/7 availability.
Use containers like Docker for easy deployment and scalability.
4. Database
Use a robust database (e.g., PostgreSQL, MongoDB) to store historical data, trade logs, and AI model states.
5. Security
Implement encryption for API keys and sensitive data.
Ensure the bot is resistant to external threats (e.g., DDOS attacks, unauthorised access).

Expectations and Deliverables
1. Deliverables
A fully functional AI trading bot with all requested features.
A user-friendly dashboard for monitoring performance and making adjustments.
Backtesting reports to validate the model’s accuracy and profitability.
Comprehensive documentation for the bot’s architecture, algorithms, and user guide.

2. Accuracy Metrics
The AI should achieve a prediction accuracy of 65%-75% in testing and backtesting scenarios.
Include logs and metrics to evaluate the accuracy in live trading conditions.

3. Timeline
I am open to discussing the development timeline, but I expect milestones to include:
Initial prototype with basic functionality.
Advanced model with sentiment analysis and full backtesting capabilities.
Finalised bot with live trading and monitoring.
Budget and Communication
I am willing to discuss the budget based on the scope and complexity of the project.
Regular communication and progress updates (e.g., weekly meetings, reports) are essential.
Open to iterative development to test features as they are implemented.

Final Notes
The key focus is on building a robust, accurate, and secure AI trading bot that can operate in volatile cryptocurrency markets. I am looking for a developer with expertise in AI/ML, cryptocurrency trading, and API integrations. If you have any suggestions or think certain aspects of the project could be improved, I am open to collaboration."	5 hours ago	Hourly	Intermediate	Est. Time:	Less than 30 hrs/week	['Python', 'Artificial Intelligence', 'Machine Learning', 'Bot Development', 'Cryptocurrency', 'API']
Rating is 4.9 out of 5.	$100K+	Canada	Payment verified	https://www.upwork.com/jobs/Create-Agents-for-our-company-workflows_~021883672406231071388/?referrer_url_path=find_work_home	Create AI Agents for our company workflows	"I need someone with experience in creating AI agents in Relevance or similar platform.

One of the harder tasks id to analyze the jobs data on Linkedin. If you had any experience with Linkedin that would be great."	5 hours ago	Fixed-price	Expert	Est. Budget:	$2,000	['AI Agent Development', 'AI Development']
Rating is 0 out of 5.	$0	United States	Payment unverified	https://www.upwork.com/jobs/Bot-Creation-Portal-Development_~021883670248051948188/?referrer_url_path=find_work_home	AI Bot Creation Portal Development	We are seeking a skilled developer to create a comprehensive website/portal for building AI bots. The platform should support the creation and management of bots capable of handling voice calls (both inbound and outbound), email, text messages, and chat interactions. The ideal candidate will have a strong understanding of AI integration and user-friendly design principles. If you are experienced in developing dynamic web applications that incorporate communication technologies, we want to hear from you!	5 hours ago	Fixed-price	Expert	Est. Budget:	$1,500	['Python', 'Artificial Intelligence', 'JavaScript', 'API', 'Chatbot Development']
Rating is 5 out of 5.	$2K+	USA	Payment verified	https://www.upwork.com/jobs/CRO-Strategist_~021883665166551536846/?referrer_url_path=find_work_home	CRO Strategist	"We are a boutique CRO agency looking to add someone to our team. This will start out as a part time role (you will get 1-2 clients) with the goal of more work if desired on both sides.

You will play a crucial role in driving our optimization efforts. You'll be responsible for conducting comprehensive audits, implementing strategic changes, and leading client-facing discussions. We're looking for someone with the experience and initiative to work autonomously and deliver high-impact results.

Key Responsibilities:
- Conduct in-depth audits using qualitative and quantitative data to pinpoint areas for conversion improvement.
- Lead client calls, presenting insights, findings, and strategic recommendations.
- Maintain top-tier client communication to ensure alignment with their goals.
- Oversee task pipelines and ensure project deadlines are met.

Qualifications needed:
We’re looking for someone with a proven ability to work independently and deliver exceptional results from day one. Ideal candidates will possess:

- Minimum 3 years of experience in CRO, with a proven track record of driving meaningful outcomes.
- Strong client management and team leadership experience.
- Exceptional communication skills, both written and verbal.
- Ability to juggle multiple priorities in a fast-paced environment.
- CXL certification (or similar) preferred.
- Deep analytical skills and a natural problem-solver.
- Fluent in English, both written and spoken.

You must be able to work US hours as this is where our clients are based (non negotiable). There will be calls with both the client and internally. English must be fluent as you will be client facing. You will really be the one-person shop: client communication, strategy, copywriting, project management, analysis, research, etc. You will work with our developers and designers on the actual execution of any design/dev tasks.

Please respond back if this all sounds like a good fit. I prefer fixed costs, so please let me know what the cost would be per client. Send over any sites or landing pages you've worked on (and things you may have tested on those pages) so I can get an idea of how you think.

We also create landing pages for clients and optimize their post purchase upsells (using tools like Rebuy, AfterSell, One Click Upsell, etc.), so if you have experience with those, let me know!"	6 hours ago	Hourly	Expert	Est. Time:	30+ hrs/week	['Multivariate Testing', 'Funnel Testing', 'Visual Website Optimizer', 'Hypothesis Testing', 'Conversion Rate Optimization', 'A/B Testing', 'Google Analytics', 'Marketing Analytics']
Rating is 4.9 out of 5.	$1K+	United States	Payment verified	https://www.upwork.com/jobs/Meta-Platforms-Specialist-Flexible-Project-Based-Support_~021883660550716903983/?referrer_url_path=find_work_home	Meta Platforms Specialist – Flexible Project-Based Support	"Are you an expert in navigating Meta’s tools and platforms? I’m looking for a reliable and skilled professional to assist with various Meta-related needs, including:

Responsibilities
	•	Managing and troubleshooting Meta Business Suite, Instagram Graph API, and related tools.
	•	Extracting data (e.g., captions, post metrics) using Meta APIs.
	•	Setting up and optimizing Meta Ads Manager campaigns for Instagram and Facebook.
	•	Resolving account-related issues across Meta platforms.
	•	Providing guidance on Meta integrations, such as automation, analytics, and ad tracking.

Key Requirements
	•	Expertise in Meta platforms, including Ads Manager, Business Suite, and Graph API.
	•	Experience with Instagram Business Accounts, APIs, and troubleshooting common issues.
	•	Familiarity with data extraction and automation tools.
	•	Strong communication skills and ability to explain solutions clearly.
	•	Flexible availability for project-based work.

Ideal Candidate
	•	Proven track record of working with Meta tools in a professional capacity.
	•	Knowledge of advanced automation and API integrations is a big plus.
	•	Able to work independently and meet deadlines.

Project Details
	•	This is a project-based role with the opportunity for ongoing work.
	•	You’ll handle specific tasks as needed, such as setting up API integrations or troubleshooting issues.
	•	Payment is flexible and will be determined per project.


When applying, please include:
	1.	A brief overview of your experience with Meta tools.
	2.	Examples of similar projects you’ve successfully completed.
	3.	Your hourly or project-based rate."	6 hours ago	Hourly	Intermediate	Est. Time:	Less than 30 hrs/week	['meta developer api', 'Facebook Graph API', 'Facebook Ads Manager']
Rating is 0 out of 5.	$2K+	United States	Payment verified	https://www.upwork.com/jobs/Python-Developer-for-CRM-Integration-with-Google-Workspace_~021883659020823548463/?referrer_url_path=find_work_home	Python Developer for CRM Integration with Google Workspace	We are seeking a skilled Python developer to develop a CRM like system with Google Workspace. The ideal candidate will have experience in building and optimizing integrations using Python, ensuring seamless data synchronization and user experience. Responsibilities include developing scripts, troubleshooting integration issues, and collaborating with our team to enhance CRM functionality. If you have a strong background in both CRM systems and Google Workspace, we would love to hear from you. Please provide examples of previous work related to CRM integrations.	6 hours ago	Hourly: $20-$40	Intermediate	Est. Time:	Less than 30 hrs/week	['Python', 'API', 'API Integration', 'JavaScript', 'PHP', 'HTML']
Rating is 0 out of 5.	$0	ARE	Payment verified	https://www.upwork.com/jobs/Expert-Full-Stack-Developer-Needed-Assist-with-Development-Across-Web-Apps-Startup_~021883579641925188252/?referrer_url_path=find_work_home	Expert Full Stack Developer Needed to Assist with Development Across 2 Web Apps in a Startup	"We are seeking an expert Full Stack Developer proficient in Next.js, React/React Native, TypeScript, Node.js, Supabase, Replit, and AWS. You will assist in the development and maintenance of two web applications focused on the health and real estate sectors. Ideal candidates should have a strong understanding of both front-end and back-end technologies. This role offers an exciting opportunity to work in innovative fields and contribute to impactful projects.

You should also be comfortable working with AI developers e.g Cursor/Replit/Supabase"	yesterday	Hourly: $25-$47	Expert	Est. Time:	30+ hrs/week	['TypeScript', 'React', 'Next.js', 'Node.js', 'Web Development', 'React Native', 'Supabase']
Rating is 0 out of 5.	$0	India	Payment unverified	https://www.upwork.com/jobs/Solutions-Provider-Digital-Transformation-Expert-Needed_~021883578272971471516/?referrer_url_path=find_work_home	IT Solutions Provider - Digital Transformation Expert Needed	Dawki InfoTech is a leading IT solutions provider dedicated to driving digital transformation across the globe. With expertise in custom software development, cloud services, cybersecurity, mobile app development, AI, and IT consulting, we offer a comprehensive suite of solutions to meet the diverse needs of businesses. Our team of experienced professionals works closely with clients to deliver innovative, scalable solutions that are tailored to enhance business operations and improve overall efficiency. By leveraging cutting-edge technology and a customer-centric approach, we help organizations streamline processes, safeguard data, and stay ahead in today’s competitive digital landscape. At Dawki InfoTech, we are committed to empowering businesses through technology, enabling them to thrive in an ever-changing environment. Let us be your trusted partner as we work together to shape a successful, tech-driven future for your business.	yesterday	Hourly	Expert	Est. Time:	Less than 30 hrs/week	['WordPress', 'Lead Generation', 'Content Writing', 'Marketing Strategy', 'Graphic Design', 'HTML', 'Web Development', 'Social Media Marketing']
