rating	total_spent_by_client	country	payment_verified	job_url_main	job_title	job_description	time_posted	hourly_rate	skill_level	estimated_time	estimated_budget	tags
"about ""Digital Marketing Strategy Consultant Needed"""	$25	United States	Payment verified	https://www.upwork.com/jobs/Digital-Marketing-Strategy-Consultant-Needed_~021884097012133771932/?referrer_url_path=find_work_home	Digital Marketing Strategy Consultant Needed	We are seeking a skilled digital marketing strategist to help us articulate our offerings and coaching transformations effectively. Your role will involve analyzing our current strategies, identifying target audiences, and developing a comprehensive digital marketing plan that enhances our outreach and engagement. If you have a passion for coaching and a strong understanding of digital marketing trends, we want to hear from you. Join us in making a meaningful impact through strategic communication! Bonus points for helping create static IG posts using Adobe Express!	1 hour ago	Hourly: $8-$25	Intermediate	Est. Time:	Less than 30 hrs/week	['Marketing Strategy', 'Social Media Marketing', 'Market Analysis', 'Internet Marketing', 'Email Marketing']
"about ""HIPAA Compliant Go High Level Workflow Automation, Website, and AI chatbot"""	$1K+	United States	Payment verified	https://www.upwork.com/jobs/HIPAA-Compliant-High-Level-Workflow-Automation-Website-and-chatbot_~021884096001080676911/?referrer_url_path=find_work_home	HIPAA Compliant Go High Level Workflow Automation, Website, and AI chatbot	I am seeking an experienced professional to assist with the setup of a HIPAA compliant Go High Level workflow automation, website, and AI chatbot. The ideal candidate will have a strong understanding of HIPAA regulations and strong experience with Go High Level. Your expertise will help us streamline operations while ensuring compliance with privacy standards. If you have a proven track record in automation, we want to hear from you!	1 hour ago	Hourly: $4-$20	Intermediate	Est. Time:	Hours to be determined	['CRM Automation', 'Java', 'high level', 'go high level', 'HIPPA', 'Go high level automations']
"about ""Knowledge management system - RAG / N-Shot / LLM"""	$300K+	United States	Payment verified	https://www.upwork.com/jobs/Knowledge-management-system-RAG-Shot-LLM_~021884095311834894895/?referrer_url_path=find_work_home	Knowledge management system - RAG / N-Shot / LLM	"We are looking to build a knowledge management system for specific clients / types of users.  The knowledge will be built from different tiers of information and categorized in a library.  Each user role will then have a specific ""silo"" of knowledge then can use an LLM to talk to it.  This will employe RAG / N-shot prompt chains.  Must have experience on how to contextualize different type of information: PDF, TEXT, excel, charts, presentations, websites.  Already know and have experience with Vectorization.  Already knows how to use different big tech LLM's and use it efficiently.  You must provide demonstrations and walkthroughs of previous work - we do not accept just a description or a resume, we can review on zoom for privacy purposes but we must see what you did and how you did it.  Using open source LLM's or what techniques you used."	1 hour ago	Hourly: $8-$20	Intermediate	Est. Time:	30+ hrs/week	['Web Application', 'AI App Development', 'AI Agent Development', 'AI Bot', 'AI Model Integration', 'AI Development', 'API Development', 'API Integration']
"about ""Application Engineer – Innovate, Build, and Grow with FRDM Consulting"""	$20K+	Canada	Payment verified	https://www.upwork.com/jobs/Application-Engineer-Innovate-Build-and-Grow-with-FRDM-Consulting_~021884092224525161007/?referrer_url_path=find_work_home	Application Engineer – Innovate, Build, and Grow with FRDM Consulting	"Job Description:
At FRDM Consulting, we believe in the power of innovation to drive transformation in energy and heavy industries. As an Application Engineer, you’ll work on impactful projects that challenge conventional thinking and deliver real-world results.

This isn’t just a job—it’s an opportunity to take your skills to the next level. You’ll be joining a collaborative team that’s pushing the boundaries of technology while helping clients optimize operations and embrace digital transformation.

Your Role:

Design and deliver high-performance applications that address real client needs.
Collaborate with cross-disciplinary teams to create scalable, integrated solutions.
Build and refine APIs, workflows, and custom tools that enhance productivity and user experience.
Dive into challenging technical problems and deliver creative, optimized solutions.
Be a part of every phase of the development lifecycle, from concept to deployment and beyond.
What You’ll Bring:

Solid experience in programming languages like Python, JavaScript, or similar.
A working knowledge of frameworks such as Flask, React, or Angular.
Proficiency in working with RESTful APIs, databases (SQL/NoSQL), and automation tools.
A proactive, problem-solving mindset and a hunger to learn and improve.
Excellent communication skills and the ability to collaborate effectively with team members and stakeholders.
Why FRDM Consulting?

Meaningful Work: Shape the future of energy and heavy industries by working on projects that make a difference.
Room to Grow: We’re committed to your professional development, offering opportunities to tackle progressively challenging roles.
Collaborative Environment: Be part of a supportive team that values creativity, curiosity, and a growth mindset.
Competitive Rewards: Enjoy compensation and benefits that reflect your contributions and potential.
This is more than a role—it’s a launchpad for ambitious professionals ready to grow and achieve more. If you’re ready to make your mark and take on challenges that matter, apply today!"	1 hour ago	Hourly: $40-$90	Intermediate	Est. Time:	30+ hrs/week	['Web Application', 'AI App Development', '.NET Framework', 'Product Design', 'JavaScript', 'Python', 'Product Development', 'Web Development']
"about ""Conversion Tracking Expert Needed"""	$1K+	United States	Payment verified	https://www.upwork.com/jobs/Conversion-Tracking-Expert-Needed_~021884090659932328495/?referrer_url_path=find_work_home	Conversion Tracking Expert Needed	"I own a boutique digital marketing agency specializing in small / medium businesses and nonprofits.

I'm looking for an expert to help me set up conversion tracking for our clients. I know quite a bit myself, and I'm happy to teach you anything you don't know, but would like someone who brings their own knowledge to the table. I'm interested in someone who knows multiple ways to solve the same problem (GTM, GA4, JavaScript, etc.), and can figure out a solution to every tracking problem; a motivated person who'll research solutions when they don't know them and learn things on the job.

Required skills:

Google Tag Manager
Google Analytics (GA4)
Exploration reports in GA4
Custom dimensions and parameters in GA4
Familiarity with coding, including HTML and Javascript, ability to modify and customize tracking code
Familiarity with gtag commands to communicate directly with GA4
Offline conversions (gclid uploads, enhanced conversions, familiarity with CRM solutions such as Hubspot and Zapier is a plus)
Phone call tracking (phone snippets, familiarity with CallRail is a plus)
Ability to do some tasks in the CMS (such as Wordpress)
Ability to define, import, and configure conversions in Google Ads
Ability to understand and speak fluent English

Although we expect meticulous and thorough work, we are very chill people and working with us is generally relaxed. :-) Our timelines are generally not rushed, but we usually expect turnaround within a week. 

Let us know if you're the right person for this opportunity!"	1 hour ago	Hourly: $30-$45	Expert	Est. Time:	30+ hrs/week	['Google Analytics', 'Google Tag Manager', 'WordPress', 'JavaScript', 'HTML', 'conversions api', 'Google APIs', 'meta api']
"about ""Website Development with Generative AI Expertise"""	$0	United States	Payment verified	https://www.upwork.com/jobs/Website-Development-with-Generative-Expertise_~021884088438682342606/?referrer_url_path=find_work_home	Website Development with Generative AI Expertise	We are seeking a skilled web developer with experience in generative AI to help us build an innovative website. The ideal candidate will have expertise in integrating AI technologies to enhance user experience and functionality. Responsibilities include designing the website layout, implementing AI solutions, and ensuring responsive design for various devices. If you are passionate about AI and have a strong background in web development, we would love to hear from you.	1 hour ago	Hourly: $85	Intermediate	Est. Time:	Less than 30 hrs/week	['Artificial Intelligence', 'Python', 'Machine Learning', 'Artificial Neural Network', 'Neural Network']
"about ""Zapier for AI Web Scraper"""	$0	Canada	Payment verified	https://www.upwork.com/jobs/Zapier-for-Web-Scraper_~021884085944644326606/?referrer_url_path=find_work_home	Zapier for AI Web Scraper	"My name is Noah and I'm the Founding Lawyer of Founders Firm. Founders Firm is a new kind of law firm that combines innovative legal craftsmanship, innovative technology, and innovative go-to-market practices to deliver excellence in legal services to clients everywhere.

I'm looking to work with elite Zapier workflow developers who are conquering the frontier with AI - namely on Gumloop, a platform for automating any workflow with AI and without coding. 

This is a one-time project that has the potential to grow into something much bigger.

If you've worked with Gumloop before or have mastered Zapier and are looking to be at the forefront of what comes next,  I would love to talk!"	1 hour ago	Hourly: $20-$50	Intermediate	Est. Time:	Less than 30 hrs/week	['Zapier', 'Data Scraping', 'Gumloop']
"about ""Google Analytics & Tag Manager Specialist Needed for Conversion Tracking Troubleshooting"""	$8K+	Australia	Payment verified	https://www.upwork.com/jobs/Google-Analytics-Tag-Manager-Specialist-Needed-for-Conversion-Tracking-Troubleshooting_~021884085383190598862/?referrer_url_path=find_work_home	Google Analytics & Tag Manager Specialist Needed for Conversion Tracking Troubleshooting	"We are seeking an experienced Google Analytics and Tag Manager specialist to assist us in troubleshooting our Google Ads conversion tracking, for our eCommerce (Woocommerce) site. 
Your expertise will help us ensure that our conversion data is accurate and actionable. If you have a proven track record with Google Analytics and Tag Manager, we would love to hear from you!"	1 hour ago	Fixed-price	Intermediate	Est. Budget:	$40	['Google Analytics', 'Google Tag Manager', 'Google Ads', 'Analytics', 'Conversion Rate Optimization']
"about ""Experienced Backend Developer for Advanced Security & AI-Powered Application (Samscloud)"""	$100K+	United States	Payment verified	https://www.upwork.com/jobs/Experienced-Backend-Developer-for-Advanced-Security-Powered-Application-Samscloud_~021884081469814161883/?referrer_url_path=find_work_home	Experienced Backend Developer for Advanced Security & AI-Powered Application (Samscloud)	"We are seeking a highly skilled Backend Developer to join our innovative team working on Samscloud, a cutting-edge application focused on personal security, digital storage, blockchain, AI, and big data. Samscloud offers features such as emergency communication, AI-driven security monitoring, real-time data streaming, and mesh network capabilities. If you are passionate about building robust, scalable backend systems and integrating advanced technologies to enhance security and user experience, we’d love to hear from you!

Key Responsibilities:

Develop and Maintain Backend Systems:
Design, implement, and maintain scalable and secure backend architectures to support Samscloud’s diverse features.
Integrate AI and Machine Learning Models:
Work with AI models (e.g., YOLOv8) for object and facial recognition, anomaly detection, and predictive security measures.
Real-Time Data Processing:
Implement real-time data streaming and processing solutions for features like emergency communication and data broadcasting.
Blockchain Integration:
Develop and integrate blockchain solutions for secure digital storage and transaction tracking.
API Development:
Create and maintain RESTful  APIs to facilitate communication between the frontend and backend systems.
Database Management:
Design and manage databases optimized for big data handling, ensuring data integrity and security.
Mesh Network Configuration:
Implement and manage configurable mesh network features, including Bluetooth mesh and emergency button integrations (e.g., DSBC-101).
Security Implementation:
Ensure all backend systems adhere to best security practices, including data encryption, secure authentication, and vulnerability assessments.
Collaboration:
Work closely with frontend developers, AI specialists, and other team members to deliver a seamless and integrated application experience.
Continuous Improvement:
Monitor system performance, identify bottlenecks, and implement optimizations to enhance the overall efficiency and reliability of the application.
Required Skills and Qualifications:

Proven Experience:
5+ years of backend development experience, preferably in security, AI, or related domains.
Technical Proficiency:
Strong knowledge of backend programming languages such as Python, Java, or Go.
Experience with frameworks like Django, Flask,, or similar.
Database Expertise:
Proficiency in working with both SQL (e.g., PostgreSQL,  (e.g., MongoDB)) databases.
API Development:
Experience designing and implementing RESTful APIs.
Real-Time Data Handling:
Knowledge of real-time data processing technologies such as WebSockets, Kafka, or RabbitMQ.
AI and Machine Learning Integration:
Familiarity with integrating machine learning models and AI services into backend systems.
Blockchain Fundamentals:
Understanding of blockchain technology and experience with blockchain frameworks is a plus.
Security Best Practices:
Strong understanding of data security, encryption methods, and secure authentication mechanisms.
Version Control:
Proficiency with Git and collaborative development workflows.
Problem-Solving Skills:
Excellent analytical and problem-solving abilities to tackle complex technical challenges.
Communication:
Strong written and verbal communication skills for effective collaboration with team members.
Preferred Skills:

Experience with YOLOv8 or similar models for object and facial recognition.
Knowledge of mesh networking protocols and Bluetooth integrations.
Familiarity with cloud platforms like AWS.
Experience with containerization and orchestration tools such as Docker and Kubernetes.
Understanding of DevOps practices and CI/CD pipelines."	2 hours ago	Hourly: $30-$50	Expert	Est. Time:	30+ hrs/week	['PostgreSQL', 'MongoDB', 'SQLite', 'API', 'Python', 'Amazon Web Services', 'RESTful API']
"about ""SR React Developer with CHAT GPT experience"""	$100K+	United States	Payment verified	https://www.upwork.com/jobs/React-Developer-with-CHAT-GPT-experience_~021884080542016322204/?referrer_url_path=find_work_home	SR React Developer with CHAT GPT experience	Looking for a SR. Frontend React developer who can expand, optimize and help maintain the operation of our current Security Incident Management (SaaS). We would like someone who has mastered CHAT GPT. Developer will need to be collaborative and participate in Agile meetings to ensure alignment. The tech stack includes: HTML5, REACT JS DJANGO, PYTHON,  Collaboration Tools: GIT, Jira, Slack.	2 hours ago	Fixed-price	Expert	Est. Budget:	$25,000	['React', 'Django', 'Web Application', 'API', 'API Integration', 'Python', 'CSS', 'HTML']
"about ""AI Agent Development and Deployment on AWS"""	$0	United States	Payment verified	https://www.upwork.com/jobs/Agent-Development-and-Deployment-AWS_~021884079752074351151/?referrer_url_path=find_work_home	AI Agent Development and Deployment on AWS	We are seeking an experienced professional to create and deploy AI agents tailored to our company's specific use cases. The ideal candidate will have a strong background in developing AI solutions and deploying them seamlessly on AWS. You will be responsible for managing the end-to-end deployment process, ensuring that the AI agents function optimally in our cloud environment. If you have a passion for AI and a proven track record in AWS deployments, we would love to hear from you.	2 hours ago	Hourly: $35-$60	Expert	Est. Time:	Less than 30 hrs/week	['Amazon Web Services', 'Python', 'AWS Lambda', 'Amazon EC2', 'Node.js']
"about ""Power BI Specialist - BigQuery Data Visualization"""	$100K+	United States	Payment verified	https://www.upwork.com/jobs/Power-Specialist-BigQuery-Data-Visualization_~021884079684406531278/?referrer_url_path=find_work_home	Power BI Specialist - BigQuery Data Visualization	"We are looking for a talented Power BI Specialist to help us build dynamic, insightful dashboards by leveraging data from BigQuery. Currently, we rely on a manual process of copying and pasting data into Google Sheets to track weekly, monthly, and quarterly trends. We aim to replace this process with a robust, automated dashboard solution in Power BI to handle larger data sets efficiently and provide a seamless visualization experience.

Responsibilities:

Design and develop Power BI dashboards to visualize data trends (weekly, monthly, quarterly) based on BigQuery datasets.

Automate reporting processes by integrating BigQuery directly into Power BI.

Ensure the dashboards are optimized for performance, scalability, and ease of use.

Provide actionable insights and recommendations based on the data visualizations."	2 hours ago	Hourly: $15-$30	Intermediate	Est. Time:	Less than 30 hrs/week	['Sales Analytics', 'Operations Analytics', 'Marketing Analytics', 'Product Analytics', 'Dashboard', 'Time Series Analysis', 'BigQuery', 'Microsoft Power BI']
"about ""ManyChat Chatbot Development and Management"""	$7K+	United States	Payment verified	https://www.upwork.com/jobs/ManyChat-Chatbot-Development-and-Management_~021884077821075866075/?referrer_url_path=find_work_home	ManyChat Chatbot Development and Management	We are seeking a skilled freelancer to help us build and manage chatbots using ManyChat. The ideal candidate should have experience with chatbot design, user engagement strategies, and analytics to enhance our customer interactions. This role involves creating automated flows, integrating with other platforms, and optimizing the chatbot based on user feedback. If you're passionate about leveraging chatbots to improve customer service, we want to hear from you!	2 hours ago	Hourly: $15-$38	Intermediate	Est. Time:	30+ hrs/week	['Chatbot Development', 'ManyChat', 'Lead Generation', 'Messenger Marketing', 'Bot Development']
"about ""Data Engineer (GCP) Needed to Build Data Pipelines for AI Project"""	$0	United States	Payment unverified	https://www.upwork.com/jobs/Data-Engineer-GCP-Needed-Build-Data-Pipelines-for-Project_~021884073526821245487/?referrer_url_path=find_work_home	Data Engineer (GCP) Needed to Build Data Pipelines for AI Project	We are seeking an experienced Data Engineer to design and build efficient data pipelines for our AI project. The ideal candidate will have a strong background in data architecture and experience developing with the Google Cloud Platform (GCP). You will be responsible for designing scalable data pipelines, ensuring data quality, and optimizing data workflows. If you are passionate about data engineering and have experience with related technologies, we want to hear from you!	2 hours ago	Hourly	Intermediate	Est. Time:	Less than 30 hrs/week	['Python', 'ETL Pipeline', 'BigQuery', 'Data Modeling', 'Data Management', 'Data Processing']
"about ""AI Web App Development with OCR Capabilities"""	$300+	United States	Payment verified	https://www.upwork.com/jobs/Web-App-Development-with-OCR-Capabilities_~021884073118089401550/?referrer_url_path=find_work_home	AI Web App Development with OCR Capabilities	"We are seeking a talented developer to create an AI-powered web application capable of answering a set of questions based on a series of PDF records. The app should intelligently analyze the extracted text and generate specific, contextually relevant responses. 

I specifically need two important features:

1) Users will upload a set of questions (in PDF form). They will then upload a set of supporting documents. The AI must use the information in the supporting documents to answer the question set. 

2) The LLM API must have strict security/confidentiality features and not train its model based on my user's input. (Microsoft's OpenAI API may meet this?) 

The ideal candidate will possess experience in machine learning, web development, and OCR technology. This project offers a unique opportunity to innovate and enhance user interaction through advanced AI functionalities."	2 hours ago	Hourly: $16-$30	Intermediate	Est. Time:	Less than 30 hrs/week	['Artificial Intelligence', 'Python', 'Machine Learning', 'API', 'Java']
"about ""AI-Powered Chatbot Developer for WordPress Integration"""	$20K+	United States	Payment verified	https://www.upwork.com/jobs/Powered-Chatbot-Developer-for-WordPress-Integration_~021884072971151819227/?referrer_url_path=find_work_home	AI-Powered Chatbot Developer for WordPress Integration	We are seeking an experienced AI-Powered Chatbot Developer to create a chatbot using the OpenAI API for our WordPress website. The ideal candidate will have prior experience in integrating AI chatbots into WordPress sites and will be responsible for ensuring seamless functionality and user engagement. The project includes designing chatbot interactions, optimizing responses, and providing ongoing support. If you have a passion for AI technology and a knack for creating user-friendly experiences, we would love to hear from you!	2 hours ago	Fixed-price	Intermediate	Est. Budget:	$400	['API', 'JavaScript', 'Chatbot Development', 'Python', 'Artificial Intelligence']
"about ""Qlik to Tableau Dashboard Migration Specialist"""	$0	Australia	Payment verified	https://www.upwork.com/jobs/Qlik-Tableau-Dashboard-Migration-Specialist_~021884068154495974044/?referrer_url_path=find_work_home	Qlik to Tableau Dashboard Migration Specialist	"We are seeking an experienced professional to assist in migrating our existing Qlik dashboards to Tableau. The ideal candidate will have a strong background in both Qlik and Tableau platforms, ensuring seamless transition while preserving data integrity and visual accuracy. The project involves analyzing existing dashboards, recreating visuals and functionalities in Tableau, and optimizing performance. 

Given the differences between the two software, you may need to use your experience have make visualisations fit! We have scale for on going ad hoc work in Tableau.

If you have a passion for data visualization and a proven track record in dashboard migration, we would love to hear from you!"	3 hours ago	Hourly	Intermediate	Est. Time:	Less than 30 hrs/week	['Tableau', 'Data Visualization', 'QlikView', 'Business Intelligence', 'Qlik Sense']
